Id,Response
55970,1
62728,8
43208,7
802,7
27509,7
28403,7
63844,6
60491,8
33343,8
76807,2
60788,7
43990,8
68835,6
40611,8
25844,2
11366,6
77893,8
65340,7
72308,8
75111,8
67819,6
23425,2
5668,1
21300,8
14114,6
63991,1
44684,6
48785,3
47036,5
43875,8
16139,6
46091,3
63751,1
25758,2
15211,2
63758,6
75660,4
37439,8
8489,8
27337,8
18780,8
28899,7
54990,6
62203,8
69178,4
25957,6
58748,8
71973,5
64483,2
56110,8
39411,6
16059,5
46015,7
11514,5
24683,8
20043,7
63563,6
5788,6
25655,8
71215,8
69099,8
75841,3
2238,7
57213,8
55631,7
15561,8
3566,8
147,1
26348,6
21284,7
281,1
5855,1
3119,8
18547,4
22619,6
74434,8
2750,8
3489,7
6056,6
62166,8
43735,2
7023,5
33183,1
33232,2
50554,1
73341,8
20653,6
10816,3
76246,2
64301,5
4959,1
72831,3
24167,5
46454,4
70039,1
6416,2
34245,5
74774,8
29677,1
77616,8
30466,2
46408,8
57881,5
62718,6
14191,8
20764,8
67531,6
16407,1
9340,5
2018,1
3639,2
56554,7
3342,7
26211,2
33276,8
36481,6
52991,6
51017,8
23559,8
14471,7
2191,7
20349,8
65632,6
15778,1
21207,6
16528,2
35756,5
75811,5
44446,8
25426,2
41180,1
6991,1
1726,8
56073,2
48768,7
36371,6
11746,1
71739,6
40246,8
72072,2
69432,8
61377,6
17484,8
5657,6
51879,3
57736,4
58792,4
50019,6
15198,2
29540,7
30799,8
8264,1
38010,6
25925,6
72253,7
32373,7
30556,5
75919,2
9274,2
50731,7
18093,2
6914,8
16780,8
64515,6
1362,1
78573,2
9874,6
70142,6
38718,6
61796,2
30114,8
67756,8
38263,6
16570,8
7753,1
3779,7
10981,8
50259,8
25351,8
57587,4
18808,7
56849,6
16627,1
3930,1
10213,5
51934,7
33955,8
54592,8
71780,4
56693,6
70043,8
77655,6
21139,2
10393,6
60991,7
30463,5
74311,8
28922,2
74820,2
71565,2
69665,2
58406,6
61,2
34446,7
42258,5
74649,2
10196,8
71645,6
49927,2
19179,1
63805,6
54012,8
44503,6
4786,1
58518,6
9715,7
44176,8
54035,6
49337,2
32386,8
16042,7
6139,1
16960,8
19177,3
15097,8
41633,8
28809,1
48093,6
39310,6
72470,2
5444,8
33151,8
27470,2
8439,8
48872,4
51355,6
2569,5
72479,7
33787,8
48036,6
39717,8
33140,2
7767,8
18540,2
7293,5
67995,2
46382,1
22541,5
75376,7
28794,8
6477,1
951,5
38963,1
4160,8
31010,1
24661,7
68326,7
69610,6
51980,2
12503,2
37245,1
78569,8
6503,6
16218,6
72561,1
33764,8
74670,1
32226,8
2397,5
57573,2
13326,1
77656,6
64964,8
19040,8
11497,8
13468,6
50095,4
60191,2
39112,4
22537,6
17379,4
50557,8
41580,1
63072,6
73280,7
21129,6
30500,7
70550,8
61231,8
59884,6
32458,6
45317,8
47910,6
35957,1
25415,6
2974,2
5135,1
60612,5
17277,6
19409,6
58684,7
57686,5
8545,8
18497,7
45217,2
47961,2
43039,8
2719,8
5105,5
70883,8
74388,2
40371,8
63598,6
4285,8
7724,7
1129,7
29326,6
32200,8
28682,5
13568,7
78393,6
38020,1
2278,6
33776,6
32610,6
73671,8
22549,6
4284,6
64672,8
23867,6
78272,8
65508,6
60387,8
40287,6
66529,8
55571,8
19426,8
44952,6
63559,8
69998,1
34823,6
24960,7
20584,5
7121,7
38521,8
63861,5
52714,2
78151,1
68197,6
29047,8
13988,8
55289,8
56993,6
46854,6
61453,7
28149,8
63304,8
74970,5
43000,6
28596,5
67812,1
42816,8
45304,2
24942,8
57189,5
25662,3
64345,8
10389,8
55986,7
27249,7
70835,6
45375,8
17072,8
51566,8
62985,8
39861,6
35914,3
39237,8
25713,5
716,6
14586,2
17509,8
34511,8
30322,2
31496,8
1538,2
61558,2
32358,8
73195,8
66501,6
60235,8
52096,3
39932,1
15391,8
70860,6
68756,7
49997,7
13799,5
19218,7
43556,7
57109,8
74193,8
26308,7
18617,8
8406,6
42444,7
76685,2
36187,8
15716,8
30338,1
8170,8
47820,4
48485,6
31,5
33907,8
13467,6
7918,7
32874,8
5394,1
39370,6
13017,8
7522,8
69646,6
71525,8
53832,8
15009,1
76000,8
12861,6
37539,5
39795,8
23426,6
77056,6
53328,8
51756,7
7780,8
5368,8
59906,5
78918,7
23146,8
8271,6
68026,6
41219,7
69333,6
54124,7
14680,5
29770,7
76004,1
35991,5
67003,8
17056,5
45919,2
7735,8
22853,6
74025,6
23959,6
23837,1
52330,8
20142,5
71034,5
30048,1
67211,6
73739,7
37008,8
73922,5
78000,6
7273,8
45116,8
67412,3
62402,1
30635,7
67962,6
47868,8
2663,8
10488,1
71859,6
10108,6
10984,2
67708,4
70794,3
35976,7
75147,8
38507,2
18121,8
70367,6
61788,2
48204,6
61561,6
11579,6
2362,8
27516,6
63904,8
49696,6
61893,8
72702,7
70872,1
68663,8
67464,7
49618,8
51104,8
27764,5
37900,7
42083,1
33435,5
34290,8
49304,1
35344,8
36684,8
74977,1
50651,1
59640,8
78143,2
72899,1
61968,8
46823,4
6120,8
78354,8
76510,5
27053,2
46023,6
57081,7
26534,1
78066,2
8535,6
73197,2
18943,2
53749,6
43094,8
27159,6
58632,8
739,1
52471,2
43076,1
76687,8
66865,8
51739,5
60215,8
32975,8
41136,6
48134,8
3313,6
57633,6
6544,7
49610,1
7403,6
64814,6
37337,6
6053,7
32442,8
12129,6
23043,6
46330,7
23363,3
71355,6
10679,4
12698,8
36775,8
76327,2
19648,7
54884,6
66854,2
51429,6
38799,8
71713,8
23132,8
30878,6
38585,8
48968,2
11983,7
13880,7
37013,5
38194,6
67865,1
69182,6
56683,6
68398,4
22026,7
1587,8
44055,8
57807,6
5457,8
45520,6
11705,8
54593,6
17675,2
64644,8
60190,8
10686,7
601,1
38497,8
34389,6
45034,8
73822,5
74794,7
23527,2
53986,7
53127,8
53489,8
55720,7
49989,8
76221,1
46930,1
74072,6
47653,7
63343,1
24058,2
52644,8
13442,4
67814,8
48213,8
77896,8
67988,7
37345,8
29222,1
73487,8
31220,6
60481,2
21056,8
43565,7
59979,1
73674,5
59213,4
14769,8
78528,7
13565,8
62015,1
12815,8
36876,6
71528,8
32656,8
74092,7
41615,2
23480,7
67979,8
43494,5
73458,2
17114,7
15771,8
71213,8
16266,8
39956,8
31032,8
26515,8
65476,8
31190,8
37620,8
19088,8
33275,5
35653,5
54396,7
30819,4
60923,2
30013,4
68956,6
30382,2
64506,4
30828,6
53588,7
64633,2
38753,4
27058,8
39098,2
2056,4
398,5
13243,7
52859,8
58824,8
1769,6
12383,8
43247,8
36698,8
32316,8
47076,8
52129,8
50162,6
70113,7
3582,7
40196,7
60283,6
70001,8
17615,8
23590,1
62593,7
68644,8
55380,2
28020,7
23815,8
77203,1
53962,8
4629,7
42458,1
31024,8
19086,8
19046,8
75998,6
69411,8
53271,8
20772,6
48503,7
13734,8
71854,7
1887,8
5443,2
68043,2
77451,6
39849,6
12510,8
21557,6
53157,6
74041,6
49127,8
44817,8
63018,7
73687,2
73873,6
72760,6
31797,6
9757,7
48548,5
71060,5
1649,6
72085,7
72254,5
35710,2
25484,8
73353,6
26505,8
4723,8
76205,6
6303,7
11294,8
9539,1
5433,8
69340,6
29294,8
70978,2
9333,5
66459,5
57576,8
52474,8
12837,8
28067,3
55047,7
40556,8
69549,5
41782,8
57089,1
3023,1
77097,8
38421,8
41050,6
75717,2
643,2
12111,3
14503,8
64786,6
74336,2
60985,8
33825,7
23685,8
9467,2
71685,8
13233,1
73328,8
54210,6
41682,1
66063,7
18382,8
70035,2
50182,6
35332,8
27798,1
20432,2
75739,6
45813,8
20346,2
29554,6
70433,2
2697,7
58468,6
1165,2
74654,2
73062,3
33735,5
15503,1
13449,8
21859,6
65010,8
15382,7
25139,8
25253,7
66534,7
60691,8
62609,2
10914,8
11353,6
1036,8
73080,6
10880,1
16673,1
26993,1
49272,8
15238,7
30960,8
43228,8
39758,8
6866,7
35655,6
53036,2
75206,8
37534,7
23305,8
63474,7
60576,7
640,1
3821,6
53207,6
6894,5
1308,6
623,2
38999,2
50180,8
60854,8
43898,8
23713,5
60216,2
31352,6
39147,8
35314,8
71492,6
9924,5
78988,1
27496,1
31768,1
16633,5
53557,6
71785,7
10430,2
62284,7
11789,6
54699,7
10596,2
3851,8
51205,2
50238,1
2020,7
15228,7
23199,8
3117,8
73121,8
26852,5
8116,8
47999,2
57547,6
61916,8
56532,7
13891,4
55640,6
46275,8
10574,1
60013,6
59826,1
49034,6
58644,8
19276,7
2619,6
10015,1
13868,7
47579,4
40081,4
79101,6
71323,8
60490,8
24985,7
51308,7
11408,5
53131,7
19686,7
48724,2
71642,4
26816,1
65995,7
70744,7
24641,8
28938,7
57862,8
10127,1
68954,6
36536,8
44855,8
13101,7
13560,8
14374,8
45716,8
59477,1
59638,8
59596,7
72140,8
59056,2
30663,6
27823,8
45808,1
38506,1
32735,8
60316,6
53918,6
69334,6
8002,2
9462,8
51510,6
42485,8
31629,5
70044,7
63506,2
522,5
59107,1
22669,1
58063,8
56335,7
6010,8
49098,1
48116,7
28980,5
749,1
11755,8
72347,6
407,8
29581,1
31278,1
67112,8
23766,8
4812,6
29750,4
37816,8
78158,2
75479,8
67573,5
27037,2
24973,2
38386,6
72638,4
29000,6
25278,5
63808,8
76644,5
26052,6
71096,7
21078,1
12865,7
29559,8
65965,1
40018,7
78190,4
7928,8
57554,8
77127,2
21817,1
63438,6
24771,7
76310,4
71908,6
34597,8
32461,8
7565,6
16976,8
71136,1
35874,2
9057,4
75748,8
36607,1
67438,3
74079,6
6072,8
25076,2
46837,6
58394,8
54946,8
63632,6
76692,7
8341,8
237,8
6105,6
28319,7
76338,6
29483,7
37087,6
18296,2
43764,8
45252,8
2676,6
1778,6
60821,7
78301,8
28022,8
32021,2
2175,6
18611,7
30780,6
71987,7
46154,1
32727,6
33571,8
3983,6
69557,4
39883,6
19293,8
64073,7
65473,7
8347,1
43153,5
33650,2
65498,7
70588,6
67837,2
18736,4
49320,6
16666,8
353,2
7815,6
38964,8
59470,2
76277,8
73965,1
24946,2
38360,2
48920,6
14788,8
46720,7
9062,8
37073,2
74390,6
34599,6
76813,4
21315,8
54893,8
57765,6
22008,5
36500,8
61171,1
68394,8
47908,1
56432,5
20387,6
41176,6
60042,1
4962,7
22456,7
56538,6
43954,1
30916,4
60624,6
63086,7
56194,2
74960,1
9508,8
60242,5
58453,7
20837,8
62082,6
78728,1
64813,2
20627,1
45104,1
10366,7
46529,5
6855,8
13953,5
55388,5
16817,8
16777,1
3407,2
45907,6
63921,7
38007,8
2911,8
19561,7
71949,2
47237,1
44362,6
75294,8
26496,6
36263,6
10438,7
29835,6
53798,7
32497,7
52975,6
4168,2
74239,6
15215,8
75472,8
25400,6
4221,8
78014,8
49788,6
65315,8
17595,4
45486,5
74102,7
8149,8
16800,7
37582,8
55716,2
9667,2
26132,8
70255,7
22515,6
74236,7
25749,5
23811,2
69257,6
74823,5
58259,8
76869,1
65732,8
59948,3
38757,8
62611,2
63798,6
44690,8
70710,2
3686,6
46807,1
1951,7
53047,8
58475,6
55898,8
27047,6
76892,7
55941,1
1935,2
61101,6
67759,7
30020,5
9960,8
40117,8
61763,6
64889,8
56099,5
37130,7
42741,8
725,1
22826,8
9262,4
32282,5
36677,8
13653,8
51410,5
18765,1
42801,8
54981,8
2132,6
41600,8
14946,8
37792,8
57855,8
26438,5
7496,8
53519,6
4975,3
843,7
43213,7
9767,5
16872,1
67654,8
20902,8
54264,8
57991,8
56856,6
40115,8
63675,8
46496,5
40467,6
55095,6
38298,8
45525,1
16474,8
32708,1
7035,6
58656,1
37832,3
70806,6
32322,1
66709,8
60874,8
45840,8
65717,8
66676,8
2957,8
16506,2
64914,2
16985,6
23866,6
56800,5
48592,8
41791,8
43133,2
12935,6
55965,6
52107,8
187,8
42056,8
2241,8
37313,8
14720,8
23714,8
63870,2
60193,8
57664,4
19204,1
66214,7
25206,8
21500,1
54181,4
24600,6
55642,5
21696,8
61211,8
50609,8
57161,7
16933,1
3839,1
13042,8
65424,8
38631,6
34346,2
38240,2
3811,8
48886,1
4144,6
18268,7
26411,7
5889,6
40529,8
11537,1
21104,6
25513,7
4880,8
60736,7
3100,3
75797,6
36830,7
45497,3
30809,6
31929,6
27239,7
57142,8
20162,8
39510,4
44770,7
27717,8
54229,7
38790,1
28236,6
52551,5
67088,6
47600,8
72039,5
46629,2
14310,8
